gvkey,datadate,IBES_covered
001078,2006-12-31,TRUE
001078,2007-12-31,TRUE
001078,2008-12-31,TRUE
001078,2009-12-31,TRUE
001078,2010-12-31,TRUE
001078,2011-12-31,TRUE
001078,2012-12-31,TRUE
001078,2013-12-31,TRUE
001078,2014-12-31,TRUE
001078,2015-12-31,TRUE
001078,2016-12-31,TRUE
001078,2017-12-31,TRUE
001078,2018-12-31,TRUE
001078,2019-12-31,TRUE
001094,2003-06-30,TRUE
001094,2004-06-30,TRUE
001094,2006-06-30,TRUE
001094,2007-06-30,TRUE
001094,2008-06-30,TRUE
001094,2009-06-30,TRUE
001094,2010-06-30,TRUE
001094,2011-06-30,TRUE
001094,2012-06-30,TRUE
001094,2013-06-30,TRUE
001094,2014-06-30,TRUE
001094,2015-06-30,TRUE
001094,2016-06-30,TRUE
001094,2017-06-30,TRUE
001095,1998-12-31,TRUE
001095,1999-12-31,TRUE
001095,2000-12-31,TRUE
001097,1988-12-31,TRUE
001097,1989-12-31,TRUE
001097,1990-12-31,TRUE
001097,1991-12-31,TRUE
001097,1992-12-31,TRUE
001097,1993-12-31,TRUE
001097,1994-12-31,TRUE
001097,1995-12-31,TRUE
001097,1996-12-31,TRUE
001097,1997-12-31,TRUE
001097,1998-12-31,TRUE
001097,1999-12-31,TRUE
001098,1984-09-30,TRUE
001098,1985-09-30,TRUE
001098,1986-09-30,TRUE
001098,1987-09-30,TRUE
001098,1988-09-30,TRUE
001098,1989-09-30,TRUE
001098,1990-09-30,TRUE
001098,1991-09-30,TRUE
001098,1993-09-30,TRUE
001098,1994-09-30,TRUE
001104,1984-12-31,TRUE
001104,2009-12-31,TRUE
001104,2010-12-31,TRUE
001104,2011-12-31,TRUE
001104,2012-12-31,TRUE
001104,2013-12-31,TRUE
001104,2014-12-31,TRUE
001104,2015-12-31,TRUE
001104,2016-12-31,TRUE
001104,2017-12-31,TRUE
001104,2018-12-31,TRUE
001104,2019-12-31,TRUE
001108,1985-06-30,TRUE
001115,1994-09-30,TRUE
001115,1995-09-30,TRUE
001115,1996-09-30,TRUE
001115,1997-09-30,TRUE
001115,1998-09-30,TRUE
001115,1999-09-30,TRUE
001128,1985-12-31,TRUE
001128,1986-12-31,TRUE
001128,1987-12-31,TRUE
001128,1988-12-31,TRUE
001128,1989-12-31,TRUE
001128,1990-12-31,TRUE
001128,1991-12-31,TRUE
001128,1992-12-31,TRUE
001137,1985-08-31,TRUE
001137,1986-08-31,TRUE
001137,1988-08-31,TRUE
001137,1989-08-31,TRUE
001137,1990-08-31,TRUE
001137,1991-08-31,TRUE
001137,1992-08-31,TRUE
001137,1993-08-31,TRUE
001141,1985-12-31,TRUE
001148,1984-09-30,TRUE
001148,1985-09-30,TRUE
001148,1986-09-30,TRUE
001148,1987-09-30,TRUE
001148,1988-09-30,TRUE
001148,1989-09-30,TRUE
001148,1990-09-30,TRUE
001148,1991-09-30,TRUE
001148,1998-09-30,TRUE
001151,1987-04-30,TRUE
001151,1988-04-30,TRUE
001151,1989-04-30,TRUE
001151,1990-04-30,TRUE
001151,1991-04-30,TRUE
001155,1991-02-28,TRUE
001161,1984-03-31,TRUE
001161,1985-03-31,TRUE
001161,1986-03-31,TRUE
001161,1987-12-31,TRUE
001161,1988-12-31,TRUE
001161,1989-12-31,TRUE
001161,1990-12-31,TRUE
001161,1991-12-31,TRUE
001161,1992-12-31,TRUE
001161,1993-12-31,TRUE
001161,1994-12-31,TRUE
001161,1995-12-31,TRUE
001161,1996-12-31,TRUE
001161,1997-12-31,TRUE
001161,1998-12-31,TRUE
001161,1999-12-31,TRUE
001161,2000-12-31,TRUE
001161,2001-12-31,TRUE
001161,2003-12-31,TRUE
001161,2004-12-31,TRUE
001161,2005-12-31,TRUE
001161,2006-12-31,TRUE
001161,2008-12-31,TRUE
001161,2009-12-31,TRUE
